course_title,course_id,course_organisation,course_certification,course_difficulty,course_rating,course_reviews,course_url,course_skills,course_description
The Global Financial Crisis,global-financial-crisis,Yale University,Not specified,Intermediate,4.8,No reviews,https://www.coursera.org/learn/global-financial-crisis,financial markets  crisis  financial system  Risk  market (economics)  global  global financial system  global financial crisis  financial crisis  Finance social-sciences economics,"Former U.S. Secretary of the Treasury Timothy F. Geithner and Professor Andrew Metrick survey the causes, events, policy responses, and aftermath of the recent global financial crisis."
New Approaches to Countering Terror: Countering Violent Extremism,countering-terror-violent-extremism,"University of Maryland, College Park",Not specified,Beginner,4.7,No reviews,https://www.coursera.org/learn/countering-terror-violent-extremism,law  deradicalization  violent extremism  terrorism  mental health  crime  violence  counter-terrorism  police  prisons social-sciences governance-and-society,"The �New Approaches to Countering Terror: Countering Violent Extremism� course offered by the National Consortium for the Study of Terrorism and Responses to Terrorism (START), is a multi-week interactive course designed to help students explore both pragmatic and philosophical challenges that continue to shape the evolution of Countering Violent Extremism (CVE), a global security paradigm. START, a Department of Homeland Security Emeritus Center of Excellence and research, training, and education center housed at the University of Maryland within the College of Behavioral and Social Sciences (BSOS), serves as a leading voice in the national and international dialogue regarding CVE. START�s Director and the course instructor, Bill Braniff, will introduce the concept of CVE and explore the promise of CVE as a more comprehensive and proactive approach to the complex phenomenon of violent extremism.  This 3.5 hour course will take an in-depth look at CVE as a relatively new area of policy and practice. As such, this MOOC can serve as an awareness-raising course, targeting anyone interested in terrorism, community resilience, security, policy and/or civil rights issues. The course is broadly interdisciplinary and has no prerequisites. Upon completion of this course, students will be able to:  1. Differentiate between two ways of addressing violent extremism: counterterrorism (CT) and Countering Violent Extremism (CVE); 2. Explain the CVE spectrum of non-violent approaches to countering terror, including prevention, intervention, and rehabilitation/reintegration programs; 3. Make sound analytical judgments about CVE programs and their potential."
The Bits and Bytes of Computer Networking,computer-networking,Google,Beginner · Course · 1 - 3 Months,Conversant,4.7,4.7(47K reviews),https://www.coursera.org/learn/computer-networking,modeling  ipv6 address  domain name system  wireless networking  Cloud Computing  wireless  Network Model  network layer  Computer Networking  ipv4 information-technology networking,"This course is designed to provide a full overview of computer networking. We�ll cover everything from the fundamentals of modern networking technologies and protocols to an overview of the cloud to practical applications and network troubleshooting.   By the end of this course, you�ll be able to: ? describe computer networks in terms of a five-layer model ? understand all of the standard protocols involved with TCP/IP communications ? grasp powerful network troubleshooting tools and techniques ? learn network services like DNS and DHCP that help make computer networks run ? understand cloud computing, everything as a service, and cloud storage"
Economics of Money and Banking,money-banking,Columbia University,Mixed · Course · 3 - 6 Months,Intermediate,4.8,4.9(1.5K reviews),https://www.coursera.org/learn/money-banking,crisis  Banking  Finance  shadow banking system  economy  Economics  market (economics)  global  money market  shadow banning social-sciences economics,"The last three or four decades have seen a remarkable evolution in the institutions that comprise the modern monetary system. The financial crisis of 2007-2009 is a wakeup call that we need a similar evolution in the analytical apparatus and theories that we use to understand that system. Produced and sponsored by the Institute for New Economic Thinking, this course is an attempt to begin the process of new economic thinking by reviving and updating some forgotten traditions in monetary thought that have become newly relevant.  Three features of the new system are central.  Most important, the intertwining of previously separate capital markets and money markets has produced a system with new dynamics as well as new vulnerabilities. The financial crisis revealed those vulnerabilities for all to see. The result was two years of desperate innovation by central banking authorities as they tried first this, and then that, in an effort to stem the collapse.    Second, the global character of the crisis has revealed the global character of the system, which is something new in postwar history but not at all new from a longer time perspective.  Central bank cooperation was key to stemming the collapse, and the details of that cooperation hint at the outlines of an emerging new international monetary order.   Third, absolutely central to the crisis was the operation of key derivative contracts, most importantly credit default swaps and foreign exchange swaps. Modern money cannot be understood separately from modern finance, nor can modern monetary theory be constructed separately from modern financial theory. That's the reason this course places dealers, in both capital markets and money markets, at the very center of the picture, as profit-seeking suppliers of market liquidity to the new system of market-based credit."
Introduction to Business Analytics: Communicating with Data,intro-business-analytics,University of Illinois at Urbana-Champaign,Not specified,Advanced,4.6,No reviews,https://www.coursera.org/learn/intro-business-analytics,visual communication  Data Visualization  analytics  Business Analysis  Microsoft Excel  business analytics  Communication  analysis  Digital Marketing  Data Analysis business leadership-and-management,"This course introduces students to the science of business analytics while casting a keen eye toward the artful use of numbers found in the digital space. The goal is to provide businesses and managers with the foundation needed to apply data analytics to real-world challenges they confront daily in their professional lives. Students will learn to identify the ideal analytic tool for their specific needs; understand valid and reliable ways to collect, analyze, and visualize data; and utilize data in decision making for their agencies, organizations or clients."
Ecology: Ecosystem Dynamics and Conservation,ecology-conservation,American Museum of Natural History,Not specified,Beginner,4.8,No reviews,https://www.coursera.org/learn/ecology-conservation,ecology  ecosystems  thought  biology  biodiversity  conservation biology  systems thinking  ecosystem  Wildlife Conservation  Population life-sciences basic-science,"This course is an introduction to ecology and ecosystem dynamics using a systems thinking lens. Through a case study on Mozambique's Gorongosa National Park, learners will explore how scientists study ecosystems, and investigate the complex array of factors that inform management efforts. At the end of the course, learners will be able to grapple with real-world conservation questions, such as whether an ecosystem can recover from anthropogenic disruption and what role humans can, and should, play in that recovery."
The Strategy of Content Marketing,content-marketing,"University of California, Davis",Intermediate · Course · 1 - 3 Months,Beginner,4.2,4.5(4.3K reviews),https://www.coursera.org/learn/content-marketing,Marketing  Writing  content strategy  Marketing Content Development  content marketing  Marketing Copy  Strategy  Content Development  Leadership and Management  marketing strategy business marketing,"This course is a partnership between the leading content marketing authority, Copyblogger, and UC Davis Continuing and Professional Education. In this course, you will learn the core strategies content marketers use to acquire and retain customers profitably. Specifically, you will learn how to develop, organize and implement a content marketing strategy, analyze and measure the effectiveness of content marketing, write compelling copy, use a strategic framework when writing, and build your professional brand and authority through content marketing. You will also learn how to put the ideas presented to you into action and build your own personal brand through content marketing."
Visual Elements of User Interface Design,visual-elements-user-interface-design,California Institute of the Arts,Not specified,Beginner,4.5,No reviews,https://www.coursera.org/learn/visual-elements-user-interface-design,Computer Graphics  user interface  design pattern  user interface design  java annotation  Graphic Design  User Experience  interfaces  Visual Design  experience arts-and-humanities music-and-art,"This design-centric course examines the broad question of what an interface is and what role a designer plays in creating a user interface. Learning how to design and articulate meaning using color, type, and imagery is essential to making interfaces function clearly and seamlessly. Through a series of lectures and visual exercises, you will focus on the many individual elements and components that make up the skillset of an interface designer. By the end of this course, you will be able to describe the key formal elements of clear, consistent, and intuitive UI design, and apply your learned skills to the design of a static screen-based interface.  This is the first course in the UI/UX Design Specialization, which brings a design-centric approach to user interface (UI) and user experience (UX) design, and offers practical, skill-based instruction centered around a visual communications perspective, rather than on one focused on marketing or programming alone.  These courses are ideal for anyone with some experience in graphic or visual design and who would like to build their skill set in UI or UX for app and web design. It would also be ideal for anyone with experience in front- or back-end web development or human-computer interaction and want to sharpen their visual design and analysis skills for UI or UX."
Sports and Society,sports-society,Duke University,Not specified,Beginner,4.8,No reviews,https://www.coursera.org/learn/sports-society,psychology  sports analytics  history  Anthropology  Social Psychology  exercise  sociology  sports  sports law  persuasion social-sciences governance-and-society,"Sports play a giant role in contemporary society worldwide. But few of us pause to think about the larger questions of money, politics, race, sex, culture, and commercialization that surround sports everywhere. This course draws on the tools of anthropology, sociology, history, and other disciplines to give you new perspectives on the games we watch and play.  It's the new and improved version of Professor Orin Starn's original ""Sports and Society"" for Coursera, which drew more than 40,000 students.  We will focus on both popular sports like soccer (or �football,� as anyone outside America calls it), basketball, and baseball, and also lesser-known ones like mountain-climbing and fishing.  You will never watch or think about sports in the same way again."
Natural Language Processing with Sequence Models,sequence-models-in-nlp,DeepLearning.AI,Not specified,Beginner,4.1,No reviews,https://www.coursera.org/learn/sequence-models-in-nlp,Natural Language Processing  speech recognition  memory  Long Short-Term Memory  language  named-entity recognition  term (time)  natural language  modeling  Deep Learning data-science machine-learning,"In Course 3 of the Natural Language Processing Specialization, offered by deeplearning.ai, you will: a) Train a neural network with GLoVe word embeddings to perform sentiment analysis of tweets, b) Generate synthetic Shakespeare text using a Gated Recurrent Unit (GRU) language model, c) Train a recurrent neural network to perform named entity recognition (NER) using LSTMs with linear layers, and  d) Use so-called �Siamese� LSTM models to compare questions in a corpus and identify those that are worded differently but have the same meaning.    Please make sure that you�ve completed Course 2 and are familiar with the basics of TensorFlow. If you�d like to prepare additionally, you can take Course 1: Neural Networks and Deep Learning of the Deep Learning Specialization.  By the end of this Specialization, you will have designed NLP applications that perform question-answering and sentiment analysis, created tools to translate languages and summarize text, and even built a chatbot!  This Specialization is designed and taught by two experts in NLP, machine learning, and deep learning. Younes Bensouda Mourri is an Instructor of AI at Stanford University who also helped build the Deep Learning Specialization. ?ukasz Kaiser is a Staff Research Scientist at Google Brain and the co-author of Tensorflow, the Tensor2Tensor and Trax libraries, and the Transformer paper."
Guitar for Beginners,guitar,Berklee College of Music,Not specified,Intermediate,4.7,No reviews,https://www.coursera.org/learn/guitar,piano  guitar  harmony  acoustics  Poetry Writing  Scaling  chord  human voice  music  sound arts-and-humanities music-and-art,"Grasp the essentials needed to begin playing acoustic or electric guitar. You'll learn an easy approach to get you playing quickly, through a combination of exploring the instrument, performance technique, and basic music theory.  For students who have long thought about picking up the acoustic or electric guitar, this course will provide an easy-access foundation that will get you playing. When first learning guitar, it is important to have the material presented in stages, in an enjoyable way that allows you to grasp the basics of the instrument and music. The course begins simply with the parts of the guitar, the names of the strings, tuning, and technique�whether finger-style or pick. It then explores the basics of music theory with such topics as scales, triads, power chords, and fingering and shapes.  At the end of this course, students will understand the structure, parts, and accessories of the instrument, in addition to an understanding of its basic maintenance. Electric guitar players will learn the operation of their instrument along with basic options for amplification, effect pedals, and sounds. Students will also learn to develop correct technique and apply theory concepts to their playing. They will have the foundational knowledge necessary to pursue most intermediate guitar courses."
Guitar for Beginners,guitar,Berklee College of Music,Not specified,Intermediate,4.7,No reviews,https://www.coursera.org/learn/guitar,piano  guitar  harmony  acoustics  Poetry Writing  Scaling  chord  human voice  music  sound arts-and-humanities music-and-art,"Grasp the essentials needed to begin playing acoustic or electric guitar. You'll learn an easy approach to get you playing quickly, through a combination of exploring the instrument, performance technique, and basic music theory.  For students who have long thought about picking up the acoustic or electric guitar, this course will provide an easy-access foundation that will get you playing. When first learning guitar, it is important to have the material presented in stages, in an enjoyable way that allows you to grasp the basics of the instrument and music. The course begins simply with the parts of the guitar, the names of the strings, tuning, and technique�whether finger-style or pick. It then explores the basics of music theory with such topics as scales, triads, power chords, and fingering and shapes.  At the end of this course, students will understand the structure, parts, and accessories of the instrument, in addition to an understanding of its basic maintenance. Electric guitar players will learn the operation of their instrument along with basic options for amplification, effect pedals, and sounds. Students will also learn to develop correct technique and apply theory concepts to their playing. They will have the foundational knowledge necessary to pursue most intermediate guitar courses."
The Science of Success: What Researchers Know that You Should Know,success,University of Michigan,Not specified,Beginner,4.8,No reviews,https://www.coursera.org/learn/success,goal setting  time management  Self-Motivation  personal advertisement  personal branding  Planning  Leadership and Management  self-awareness  social capital  leadership business leadership-and-management,"This engaging course is designed to help you achieve the success that you desire. Drawing on decades of scientific research, you will learn what the most successful people do differently than others, why IQ is not the most significant predictor of success (and can sometimes backfire), and why many commonly held beliefs hold people back from achieving their goals.  Although this course is based on the science of success, you will learn many practical ideas that you can apply to your own life immediately, particularly in three main areas:  �\tGetting better results at work (and school)  �\tAchieving career success (however you define success)  �\tEnjoying a meaningful, happy, and healthy life  By the time you finish this course you will know more than most people know about what predicts success in life. One of the most important lessons you�ll learn is that success is earned day-by-day through small wins - small, achievable actions that together can help you achieve your goals sooner and exceed even your own expectations. Therefore, you will have an opportunity to complete a detailed action plan through which you can turn what you learned into specific steps for achieving your most treasured life goals."
Introduction to Search Engine Optimization,search-engine-optimization,"University of California, Davis",Not specified,Beginner,4.5,No reviews,https://www.coursera.org/learn/search-engine-optimization,brand  mathematical optimization  Algorithms  search algorithm  search engine optimization  keyword research  semantics  Marketing  history  Strategy business marketing,"Ever wonder how major search engines such as Google, Bing and Yahoo rank your website within their searches? Or how content such as videos or local listings are shown and ranked based on what the search engine considers most relevant to users? Welcome to the world of Search Engine Optimization (SEO). This course is the first within the SEO Specialization and it is intended to give you a taste of SEO with some fun practices to get seen in Google.  You will be introduced to the foundational elements of how the most popular search engine, Google, works, how the SEO landscape is constantly changing and what you can expect in the future. You discuss core SEO strategies and tactics used to drive more organic search results to a specific website or set of websites, as well as tactics to avoid to prevent penalization from Google. We hope this taste of SEO, will entice you to continue through the Specialization!"
R Programming,r-programming,Johns Hopkins University,Intermediate · Course · 1 - 4 Weeks,Conversant,4.4,4.5(22K reviews),https://www.coursera.org/learn/r-programming,R Programming  euler's totient function  language  analysis  Computer Programming  General Statistics  rstudio  Data Analysis  Problem Solving  github data-science data-analysis,"In this course you will learn how to program in R and how to use R for effective data analysis. You will learn how to install and configure software necessary for a statistical programming environment and describe generic programming language concepts as they are implemented in a high-level statistical language. The course covers practical issues in statistical computing which includes programming in R, reading data into R, accessing R packages, writing R functions, debugging, profiling R code, and organizing and commenting R code. Topics in statistical data analysis will provide working examples."
R Programming,r-programming,Johns Hopkins University,Intermediate · Course · 1 - 4 Weeks,Conversant,4.4,4.5(22K reviews),https://www.coursera.org/learn/r-programming,R Programming  euler's totient function  language  analysis  Computer Programming  General Statistics  rstudio  Data Analysis  Problem Solving  github data-science data-analysis,"In this course you will learn how to program in R and how to use R for effective data analysis. You will learn how to install and configure software necessary for a statistical programming environment and describe generic programming language concepts as they are implemented in a high-level statistical language. The course covers practical issues in statistical computing which includes programming in R, reading data into R, accessing R packages, writing R functions, debugging, profiling R code, and organizing and commenting R code. Topics in statistical data analysis will provide working examples."
International Security Management,international-security-management,Erasmus University Rotterdam,Beginner · Course · 1 - 3 Months,Beginner,4.7,4.7(1K reviews),https://www.coursera.org/learn/international-security-management,Leadership and Management  security management  crime  Risk Management  terrorism  security  Risk  Intelligence Analysis  safety  risk assessment social-sciences governance-and-society,"In this MOOC you will learn about the colorful and diverse international security landscape, and gain insights into challenging topics including Open Source Intelligence, serious organised crime and illicit trade. You will also meet stakeholders from different sectors and backgrounds. We recorded our videos at different locations in Europe to also give you an insight into the original environment of our contributing experts. You will realize that the style and focus of the various presentations will differ from one week to the other. We feel that this is a big asset! And yes, we also have men in suits and uniforms..."
Dairy Production and Management,dairy-production,The Pennsylvania State University,Not specified,Beginner,4.8,No reviews,https://www.coursera.org/learn/dairy-production,feed uri scheme  animal nutrition  animal  farm  Leadership and Management  reproduction  nutrition  disease  Disease Control  genetics life-sciences animal-health,"With the world's first MOOOOO-C, you will gain a broad and comprehensive understanding of all aspects of dairy management such as genetics, nutrition, reproduction, animal health, farm economics, and sustainability of dairy production systems. There's something here for everyone whether you are just looking for the basics or have years of experience in the dairy industry.  This is an eight-week course. Each week consists of four to nine video lectures, additional reading materials, and a multiple-choice questions quiz. Estimated study time is between three and five hours per week. Learners have the option to purchase a Course Certificate for 49.00 USD. The certificate can be purchased at any time, but you must verify your identify before taking the course quizzes in order to be eligible. For those who cannot afford the certificate fee, financial aid is available through Coursera.  Why is producing milk efficiently and sustainably so important?   Milk provides humans with over 16 essential nutrients, such as: Energy, Protein and Essential Amino acids, Vitamin A, Vitamin D, several B vitamins, including B12, Pantothenic and Folic acids, and essential minerals such as Calcium, Magnesium, Phosphorus, Potassium, Zinc, as well as other minerals. Did you know that one glass of milk provides a 5-year old child with 21% of his/her daily protein requirements and 8% of their energy needs?  Most milk in the world, about 85%, is produced from cattle. However, water buffaloes, goats, sheep, and camel are also dairy animals. The United States, India, the European Union, Brazil, and New Zealand are among the largest dairy producers in the world. Yet among these dairy-producing countries there are varied methods to generate milk with highly variable productivity and efficiency. Dairy production is vital for the survival of billions of people. Globally, around 150 million small-scale dairy households, equivalent to 750 million people, are engaged in milk production. The number and size of dairy farms varies among countries, but in India alone, there are estimated 78 million dairy farms! In the United States, one of the leading milk-producing countries in the world, total milk production has been steadily increasing in the last decades, reaching over 205 billion pounds (93 billion kilograms) in 2014. This was accompanied by a steady increase in average milk yield per cow, reaching 22,260 lb (over 10,100 kg) per lactation in 2014. How has this efficiency been achieved? What methods are necessary to ensure production of high quality milk? How do we balance milk production efficiency with animal health and environmental protection? This course will provide the student with information to better understand dairy production systems and their role in feeding the world population.  In this MOOOOO-C, you will learn about the dairy enterprise from internationally recognized dairy science professors who have delivered highly regarded dairy education programs within the United States and internationally.  Course lectures are translated into Portuguese and Chinese; PDF files of these translations can be found under each course week. The Dairy MOOC team thanks Dr. Antonio Branco (Universidade Estadual de Maring�, Brazil) and Ms. Yuanyuan Zhang (Pennsylvania State University) for translating the lecture materials.  Course Sponsors  This course was supported by the generous contributions of Innovation Center for US Dairy at Silver Level and Pancosma North America, RP Nutrients, Inc. and Arm and Hammer, which provided funding support at a Bronze Level.  The Pennsylvania State University has final responsibility for the academic content of this course."
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",introduction-tensorflow,DeepLearning.AI,Not specified,Beginner,4.6,No reviews,https://www.coursera.org/learn/introduction-tensorflow,Human Learning  Convolutional Neural Network  convolution  Computer Vision  Tensorflow  Keras  Artificial Neural Networks  Deep Learning  Machine Learning  Computer Programming computer-science software-development,"If you are a software developer who wants to build scalable AI-powered algorithms, you need to understand how to use the tools to build them. This course is part of the upcoming Machine Learning in Tensorflow Specialization and will teach you best practices for using TensorFlow, a popular open-source framework for machine learning.   The Machine Learning course and Deep Learning Specialization from Andrew Ng teach the most important and foundational principles of Machine Learning and Deep Learning. This new deeplearning.ai TensorFlow Specialization teaches you how to use TensorFlow to implement those principles so that you can start building and applying scalable models to real-world problems. To develop a deeper understanding of how neural networks work, we recommend that you take the Deep Learning Specialization."
Wine Tasting: Sensory Techniques for Wine Analysis,wine,"University of California, Davis",Not specified,Intermediate,4.5,No reviews,https://www.coursera.org/learn/wine,sensory analysis  philosophy  chemistry  flavor  food science  fish  food chemistry  analysis  grape  wine tasting personal-development personal-development,"With its roots in ancient cultures as early as 6,000 BC, wine has long been part of the human experience. Today, increasing worldwide interest in wine and its complexities and varieties has created an international market valued at $304 billion annually. For the learner who is just getting started in the study of wine, this course will help you take the first steps toward understanding the physiological process of wine tasting. The first module will explore types of wine and help you set up your own tasting. You�ll also begin to build a sensory vocabulary. In module 2 you will review classic wine types of the world and set up flights of specific wines. Later we�ll examine the various faults and defects that can appear in wine as well as techniques for spotting problems. In week 4 we�ll delve into the complex world of wine and food pairings, and its �seven deadly sins.� The course will culminate in a peer review project in which you will apply the knowledge and sensory techniques you have developed throughout the course to assess a specific wine."
Essentials in Clinical Simulations Across the Health Professions,clinicalsimulations,The George Washington University,Not specified,Conversant,4.8,No reviews,https://www.coursera.org/learn/clinicalsimulations,Operations Management  debriefing  evaluation  hospital administrators  simulation  program management  Leadership and Management  pedagogy  ordered pair  methodology life-sciences healthcare-management,"This 7-week course provides you with key strategies to help understand the foundation of Clinical Simulations.  During each module, you will learn about 7 key components of Clinical Simulation Across the Health Professions and its' impact in your current position as a healthcare professional.  Please utilize all of the Resources provided by each of the modules to support and enhance your understanding of each concept.  You will learn about the following topics in this course:  Module 1:  Getting Started in Clinical Simulation-the Fundamentals Module 2:  INACSL Standards of Best Practice:  Simulation Module 3:  Implementing Simulation in the Curriculum Module 4:  Developing a Simulation Center Module 5:  Basics of Debriefing in Simulation Module 6:  Evaluation Methods in Simulation Module 7:  SPs in Simulation  About The George Washington University School of Nursing  Ranked among the top nursing schools by U.S. News & World Report, the George Washington University School of Nursing educates and inspires nurses to provide high-quality, compassionate person-centered health care. The school develops leaders actively engaged in health promotion, patient advocacy and healthcare innovation, and prepares exceptional nurse educators who pursue quality and advance the profession. The School of Nursing is committed to improving the health and wellbeing of people and communities locally, nationally and globally. The school values lifelong learning and its students advance nursing practice, leadership and education as they make a difference in the world.  For more in-depth simulation education, please see the GW Nursing Simulation Initiatives. https://nursing.gwu.edu/gw-nursing-simulation-initiatives"
AI for Medical Diagnosis,ai-for-medical-diagnosis,DeepLearning.AI,Not specified,Beginner,4.5,No reviews,https://www.coursera.org/learn/ai-for-medical-diagnosis,multiclass classification  medical imaging  Computer Vision  medical diagnosis  Artificial Neural Networks  image segmentation  Machine Learning  evaluation  image processing  statistical classification data-science machine-learning,"AI is transforming the practice of medicine. It�s helping doctors diagnose patients more accurately, make predictions about patients� future health, and recommend better treatments. As an AI practitioner, you have the opportunity to join in this transformation of modern medicine. If you're already familiar with some of the math and coding behind AI algorithms, and are eager to develop your skills further to tackle challenges in the healthcare industry, then this specialization is for you. No prior medical expertise is required!   This program will give you practical experience in applying cutting-edge machine learning techniques to concrete problems in modern medicine:  - In Course 1, you will create convolutional neural network image classification and segmentation models to make diagnoses of lung and brain disorders.  - In Course 2, you will build risk models and survival estimators for heart disease using statistical methods and a random forest predictor to determine patient prognosis.  - In Course 3, you will build a treatment effect predictor, apply model interpretation techniques and use natural language processing to extract information from radiology reports.  These courses go beyond the foundations of deep learning to give you insight into the nuances of applying AI to medical use cases. As a learner, you will be set up for success in this program if you are already comfortable with some of the math and coding behind AI algorithms. You don't need to be an AI expert, but a working knowledge of deep neural networks, particularly convolutional networks, and proficiency in Python programming at an intermediate level will be essential. If you are relatively new to machine learning or neural networks, we recommend that you first take the Deep Learning Specialization, offered by deeplearning.ai and taught by Andrew Ng.  The demand for AI practitioners with the skills and knowledge to tackle the biggest issues in modern medicine is growing exponentially. Join us in this specialization and begin your journey toward building the future of healthcare."
What Is Contemporary Art?,contemporary-art,The Museum of Modern Art,Not specified,Intermediate,4.7,No reviews,https://www.coursera.org/learn/contemporary-art,analysis  visual arts  photography  film  abuse of power  Art History  history  Creativity  art  arts and humanities arts-and-humanities music-and-art,"What is contemporary art? In this course, you�ll consider this question through more than 70 works of art made between 1980 and the present, with a focus on art from the past decade. You�ll hear directly from artists, architects, and designers from around the globe about their creative processes, materials, and inspiration.  Five themes serve as your guide: Media from Television to the Internet, Territories & Transit, Materials & Making, Agency, and Power. You�ll look at 3-D�printed glass and fiber sculptures, performances in a factory and a museum, painted portraits�as well as those made with artificial intelligence�and interventions into television and video games. And much more, all drawn from the collection of The Museum of Modern Art.   Come along as artists invite us into their studios, out into their neighborhoods, and to experiment with the materials they use. Not only will you develop a deeper understanding of how artists work today, you�ll also explore some of their many approaches to the pressing issues and questions of our time. By taking this course, you�ll gain confidence to look at contemporary art wherever you encounter it and make connections to your own life or creative practice."
Teach English Now! Teaching Language Online,teachlanguageonline,Arizona State University,Not specified,Intermediate,4.6,No reviews,https://www.coursera.org/learn/teachlanguageonline,language  needs analysis  english language  tutor  facilitation  korean language  pedagogy  teaching  Planning  lesson plan language-learning learning-english,"Whether you have already taught English as a Second Language and want to start teaching it online, you've already been teaching ESL online and want to sharpen your skills, or you are new to teaching and interested in teaching ESL online, ASU and VOXY provide you with the basic ideas and concepts you need to know in order to successfully teach ESL online. This course uses a fun and interesting theme of ""International Travel"" to deliver content in an entertaining way. There are also plenty of real, recorded online session videos from VOXY in the course to show you examples of what it looks like to teach ESL online. In this course, you will learn about the best practices for teaching English as a Second Language online. This includes an introduction to online teaching, Second Language Acquisition theories and how they apply to ESL learners, conducting a needs analysis, curating content for your courses, designing lesson plans, and effective teaching strategies that will help you to become an successful online ESL teacher. The course consists of a variety of videos and readings, followed by quizzes. In the last module of the course, actual VOXY online ESL teachers share their experiences in the online classroom."
Design and Interpretation of Clinical Trials,clinical-trials,Johns Hopkins University,Not specified,Beginner,4.7,No reviews,https://www.coursera.org/learn/clinical-trials,randomization  clinical trials  research ethics  Clinical Trial Design  Trial Design  analysis  interpretation  clinical research  Clinical Trial  ethics life-sciences research,"Clinical trials are experiments designed to evaluate new interventions to prevent or treat disease in humans. The interventions evaluated can be drugs, devices (e.g., hearing aid), surgeries, behavioral interventions (e.g., smoking cessation program), community health programs (e.g. cancer screening programs) or health delivery systems (e.g., special care units for hospital admissions). We consider clinical trials experiments because the investigators rather than the patients or their doctors select the treatment the patients receive. Results from randomized clinical trials are usually considered the highest level of evidence for determining whether a treatment is effective because trials incorporates features to ensure that evaluation of the benefits and risks of treatments are objective and unbiased. The FDA requires that drugs or biologics (e.g., vaccines) are shown to be effective in clinical trials before they can be sold in the US. The course will explain the basic principles for design of randomized clinical trials and how they should be reported. In the first part of the course, students will be introduced to terminology used in clinical trials and the several common designs used for clinical trials, such as parallel and cross-over designs. We will also explain some of the mechanics of clinical trials, like randomization and blinding of treatment. In the second half of the course, we will explain how clinical trials are analyzed and interpreted. Finally, we will review the essential ethical consideration involved in conducting experiments on people."
Foundations of Business Strategy,uva-darden-foundations-business-strategy,University of Virginia,Not specified,Intermediate,4.7,No reviews,https://www.coursera.org/learn/uva-darden-foundations-business-strategy,porter's five forces analysis  capability analysis  competitiveness  Strategic Analysis  Strategy  competitor analysis  Business Analysis  analysis  swot analysis  Business Strategy business business-strategy,"Develop your ability to think strategically, analyze the competitive environment, and recommend firm positioning and value creation. In this course, developed at the Darden School of Business at the University of Virginia, top-ranked faculty will help you explore the underlying theory and frameworks that provide the foundations of a successful business strategy and provide the tools you need to understand that strategy: SWOT, Competitor, Environmental, Five Forces, and Capabilities Analyses, as well as Strategy Maps."
Python Basics,python-basics,University of Michigan,Not specified,Beginner,4.8,No reviews,https://www.coursera.org/learn/python-basics,Problem Solving  python syntax and semantics  turtle graphics  Computer Programming  language  Python Programming  semantics  for loop  basic programming language  syntax computer-science software-development,"This course introduces the basics of Python 3, including conditional execution and iteration as control structures, and strings and lists as data structures. You'll program an on-screen Turtle to draw pretty pictures. You'll also learn to draw reference diagrams as a way to reason about program executions, which will help to build up your debugging skills. The course has no prerequisites. It will cover Chapters 1-9 of the textbook ""Fundamentals of Python Programming,"" which is the accompanying text (optional and free) for this course.  The course is for you if you're a newcomer to Python programming, if you need a refresher on Python basics, or if you may have had some exposure to Python programming but want a more in-depth exposition and vocabulary for describing and reasoning about programs.  This is the first of five courses in the Python 3 Programming Specialization."
